"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"
661	"New Brunswick"	"65-69"	4.95836	5.15835	5.65837	6.25835	6.3	7.11672	7.55836	7.95835	7.91851	8.38264	10.241	11.654	11.945	13.042	12.671	13.203	14.734	18.415	24.462
661	"New Brunswick"	"70-74"	3.65836	4.05837	4.2	4.55835	5.05836	5.61672	6.05835	6.40001	6.59919	6.49391	6.999	8.478	9.659	10.199	11.048	10.915	11.557	13.263	16.751
661	"New Brunswick"	"75-79"	2.2	2.39999	2.85836	2.9	3.15836	3.55836	4.00001	4.4	4.53858	4.81226	4.827	5.259	6.292	7.392	7.833	8.636	8.718	9.562	11.325
661	"New Brunswick"	"80-84"	1.21545	1.34755	1.49043	1.57273	1.64676	1.94451	2.15877	2.468	2.77633	2.7806	2.961	3.035	3.283	4.02	4.834	5.26	6.122	6.293	7.225
661	"New Brunswick"	"85-89"	0.45599	0.48007	0.54949	0.63797	0.65799	0.75743	0.82451	1.02877	1.158	1.32833	1.414	1.473	1.523	1.765	2.057	2.618	2.85	3.567	3.877
661	"New Brunswick"	"90-94"	0.1174	0.13911	0.15734	0.14919	0.19086	0.18336	0.23843	0.28451	0.34577	0.383	0.573	0.658	0.704	0.753	0.836	0.902	0.93	1.179	1.518
661	"New Brunswick"	"95-99"	0.03049	0.02661	0.02936	0.02363	0.03149	0.03195	0.05385	0.04191	0.05288	0.0662	0	0	0	0	0	0	0.156	0.204	0.323
661	"New Brunswick"	"100+"	0.00041	0	0.00115	0.00209	0.00032	0.003	0.00345	0.00582	0.00635	0.00681	0	0	0	0	0	0	0.025	0.031	0.017
662	"Newfoundland and Labrador"	"0-4"						25.51699	31.57506	33.87507	35.85245	32.57474	30.72	26.406	22.71	19.586	16.922	13.468	11.938	12.726	11.936
662	"Newfoundland and Labrador"	"5-9"						20.58356	28.37534	31.60848	33.92094	34.7503	32.64	29.973	25.701	22.493	19.285	15.721	13.536	12.811	13.475
