country_code,MigFDMb0,MigFDMb1,MigFDMsrin,MigFDMsrout,MigFDMmin
184,0.001,0.5,0.5118276200499,0.489751742187947,1e-04
191,0.001,0.5,0.508698686968784,0.522174884392648,1e-04
196,0.007,0.5,0.506199492525021,0.510139337990907,7e-04
203,0.007,0.5,0.489595319229329,0.507883540498899,7e-04
204,0.001,0.5,0.496714272512646,0.49964352777792,1e-04
208,0.007,0.5,0.499327746368607,0.505520197360123,7e-04
212,0.001,0.5,0.516408941857949,0.508156438894319,1e-04
226,0.007,0.5,0.432452699983708,0.504830863053677,7e-04
231,0.007,0.5,0.497630373669377,0.510958047781482,7e-04
232,0.001,0.5,0.487336048842678,0.497070855463848,1e-04
233,0.001,0.5,0.505967503161466,0.543277240838337,1e-04
234,5e-04,0.5,0.505856482117314,0.514633718892394,5e-05
238,0.001,0.5,0.479296733540958,0.492330002096583,1e-04
242,0.001,0.5,0.509739897038699,0.482083251509194,1e-04
246,0.007,0.5,0.487916211335772,0.517329325775223,7e-04
250,0.007,0.5,0.521052521538242,0.502930275071735,7e-04
254,0.001,0.5,0.496521808176426,0.495950011889873,1e-04
258,0.001,0.5,0.461299094133208,0.463545365328572,1e-04
262,0.007,0.5,0.49363330737911,0.492962615606838,7e-04
266,0.007,0.5,0.429713853248865,0.432391879544327,7e-04
268,0.001,0.5,0.502665084620235,0.502906244096468,1e-04
270,0.001,0.5,0.431387891451669,0.44728611382503,1e-04
275,0.001,0.5,0.487795153556775,0.488619586834303,1e-04
276,0.007,0.5,0.492829762979415,0.486792426971108,7e-04
288,0.001,0.5,0.479516347686817,0.487066984434974,1e-04
292,5e-04,0.5,0.505121368417985,0.502759638550326,5e-05
296,0.001,0.5,0.521637601803709,0.443947777890308,1e-04
300,0.007,0.5,0.489175517111337,0.512846237068004,7e-04
304,0.001,0.5,0.487619761967909,0.519165545022085,1e-04
308,0.001,0.5,0.52609173553719,0.513673196723331,1e-04
312,0.001,0.5,0.549112199001431,0.492348413204238,1e-04
316,0.001,0.5,0.496487962029363,0.497939094431781,1e-04
324,0.001,0.5,0.469339356286127,0.455926247975713,1e-04
328,0.001,0.5,0.52041051409362,0.505651329667349,1e-04
336,0.001,0.5,0.5,0.5,1e-04
344,0.007,0.5,0.555153214431447,0.551220336503251,7e-04
348,0.007,0.5,0.472884908070595,0.492024646246637,7e-04
352,0.007,0.5,0.456460091298935,0.51339031605606,7e-04
356,0.001,0.5,0.449899042558749,0.474649366194063,1e-04
360,0.001,0.5,0.469836978167515,0.491761641532222,1e-04
364,0.001,0.5,0.48765276424045,0.486287151797101,1e-04
368,0.001,0.5,0.502191889290243,0.506154024849213,1e-04
372,0.007,0.5,0.498254839831522,0.496320146429839,7e-04
376,0.007,0.5,0.514123055839764,0.518832978705155,7e-04
380,0.007,0.5,0.484153789134256,0.494840459546463,7e-04
384,0.007,0.5,0.483547487624439,0.487275228769535,7e-04
388,0.001,0.5,0.526467209844544,0.518193908574159,1e-04
392,0.007,0.5,0.524659708665051,0.514770790366059,7e-04
398,0.001,0.5,0.514354242303249,0.513549363890958,1e-04
400,0.007,0.5,0.479336891601638,0.470615543545523,7e-04
404,0.001,0.5,0.52417995065267,0.487318704938108,1e-04
408,0.001,0.5,0.47665899995018,0.510893979078281,1e-04
410,0.007,0.5,0.493871083666662,0.477154975094632,7e-04
412,0.001,0.5,0.5,0.5,1e-04
414,0.05,0.5,0.390539419435547,0.451537367266944,0.005
417,0.001,0.5,0.520617814144099,0.512926311084519,1e-04
418,0.001,0.5,0.517048345401762,0.513809129746798,1e-04
422,0.001,0.5,0.499462814572646,0.47667334791748,1e-04
426,0.001,0.5,0.517397806174835,0.554642765295893,1e-04
428,0.001,0.5,0.521719180564999,0.535525951171716,1e-04
430,0.001,0.5,0.488654837653525,0.498577050516045,1e-04
434,0.001,0.5,0.40754055112394,0.408474119338605,1e-04
438,0.007,0.5,0.507018623379424,0.500438831056146,7e-04
440,0.001,0.5,0.488307762522951,0.538658252922638,1e-04
442,0.007,0.5,0.493307694267153,0.495151072344669,7e-04
446,0.007,0.5,0.526281884420273,0.500146701705597,7e-04
450,0.001,0.5,0.52944724340334,0.560440236606142,1e-04
454,0.001,0.5,0.47772428326765,0.490048632447756,1e-04
458,0.007,0.5,0.472798623514698,0.461769497047445,7e-04
462,0.007,0.5,0.406587974816178,0.282572954670591,7e-04
466,0.001,0.5,0.467115009627318,0.483008011808398,1e-04
470,0.007,0.5,0.456649538724692,0.506601412049875,7e-04
474,0.001,0.5,0.540676330906216,0.515063653111166,1e-04
478,0.001,0.5,0.46228589662786,0.472497487193381,1e-04
480,0.001,0.5,0.504359007741243,0.506818606603589,1e-04
492,0.007,0.5,0.504754993698201,0.516243954770497,7e-04
496,0.007,0.5,0.47389906366224,0.49402310942448,7e-04
498,0.001,0.5,0.512770206676189,0.519387966144973,1e-04
499,0.001,0.5,0.535454643434827,0.526087104057044,1e-04
500,0.001,0.5,0.488616593676885,0.526493556874916,1e-04
504,0.001,0.5,0.48067670296723,0.524579325015591,1e-04
508,0.001,0.5,0.450150972981172,0.47813969179559,1e-04
512,0.07,0.5,0.360037829070867,0.304969099674977,0.007
516,0.007,0.5,0.478652691711851,0.482103142196152,7e-04
520,0.001,0.5,0.451033115026289,0.467224248522198,1e-04
524,0.001,0.5,0.35,0.35,1e-04
528,0.007,0.5,0.505079151068355,0.50436791827361,7e-04
531,0.007,0.5,0.471056781833371,0.59562313440735,7e-04
533,0.001,0.5,0.517162748798151,0.510380137755264,1e-04
534,5e-04,0.5,0.476077567254699,0.52835012032426,5e-05
535,5e-04,0.5,0.5,0.5,5e-05
540,0.001,0.5,0.48653877907251,0.474940365405981,1e-04
548,0.001,0.5,0.515134697306054,0.482026333831199,1e-04
554,0.007,0.5,0.495568314922206,0.524889468973437,7e-04
562,0.001,0.5,0.48683500929258,0.492435819667166,1e-04
566,0.007,0.5,0.48457203240883,0.500593739758545,7e-04
570,0.001,0.5,0.564007483129552,0.487072868512605,1e-04
578,0.007,0.5,0.500930470844295,0.499939894353843,7e-04
580,5e-04,0.5,0.52316644411014,0.530456066606452,5e-05
583,0.001,0.5,0.498339961368026,0.49987777208172,1e-04
584,0.001,0.5,0.465256391175427,0.492739850336781,1e-04
585,0.001,0.5,0.500947030204559,0.461814334005625,1e-04
586,0.001,0.5,0.457206968431526,0.426431563583084,1e-04
598,5e-04,0.5,0.459510415514618,0.492559260035129,5e-05
608,0.001,0.5,0.509990974770905,0.517092469910935,1e-04
616,0.001,0.5,0.491557243344539,0.494983164571714,1e-04
620,0.007,0.5,0.501265778742242,0.468844801448409,7e-04
624,0.001,0.5,0.482634241720476,0.492645021060033,1e-04
626,0.001,0.5,0.456401994693062,0.495364468546996,1e-04
630,0.001,0.5,0.509747706078552,0.510187099824885,1e-04
634,0.07,0.5,0.353775113494418,0.301402151382744,0.007
638,0.001,0.5,0.481169401499537,0.483396022307446,1e-04
642,0.001,0.5,0.49230428000974,0.50280421283195,1e-04
643,0.007,0.5,0.509768979314475,0.519074498364364,7e-04
646,0.001,0.5,0.502649751766415,0.504353706766619,1e-04
652,0.007,0.5,0.5,0.5,7e-04
654,0.007,0.5,0.521287128712871,0.438534423388799,7e-04
659,0.001,0.5,0.509462375922956,0.498787107143356,1e-04
