country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio
276	Germany	KA	0	1950	0	0	Age specific mortality pattern	CD_West	LC				0	0	0	Global Norm	1	0	0	0	0	0
288	Ghana	TS	0	1950	0	0	Age specific mortality pattern	CD_South	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
292	Gibraltar	PG	1	1950	9	0	Age specific mortality pattern	CD_North	MLT		CD_North		0	0	0	Global Norm	0	0	0	0	0	0
300	Greece	LB	0	1950	0	0	Age specific mortality pattern	Life_Tables	LC				0	1	1	Global Norm	0	0	0	0	0	0
304	Greenland	PG	1	1950	9	0	Age specific mortality pattern	UN_Far_Eastern	MLT		UN_Far_Eastern		0	0	0	Global Norm	0	0	0	0	0	0
308	Grenada	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
312	Guadeloupe	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
316	Guam	SH	0	1950	9	0	Age specific mortality pattern	CD_West	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
320	Guatemala	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
324	Guinea	TS	0	1950	0	0	Age specific mortality pattern	CD_South	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
624	Guinea-Bissau	PU	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
328	Guyana	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
332	Haiti	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
336	Holy See	PG	1	1950	9	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	0	0	0
340	Honduras	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
348	Hungary	MW	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
352	Iceland	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	LC				0	1	1	Global Norm	0	0	0	0	0	0
356	India	SH	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	1	0	0	0
360	Indonesia	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
364	Iran (Islamic Republic of)	SH	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
368	Iraq	SH	0	1950	0	0	Age specific mortality pattern	CD_West	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
372	Ireland	SH	0	1950	0	0	Age specific mortality pattern	Life_Tables	LC				0	0	0	Global Norm	0	0	0	0	0	0
833	Isle of Man	PG	1	1950	0	0	Age specific mortality pattern	CD_North	MLT		CD_North		0	0	0	Global Norm	0	0	0	0	0	0
376	Israel	NL	0	1950	0	0	Age specific mortality pattern	Life_Tables	LC				0	1	0	Global Norm	0	0	0	0	0	0
380	Italy	LB	0	1950	0	0	Age specific mortality pattern	Life_Tables	LC				0	1	0	Global Norm	1	0	0	0	0	0
388	Jamaica	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
392	Japan	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	LC				0	1	0	Global Norm	1	1	0	0	0	0
400	Jordan	SH	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
398	Kazakhstan	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
404	Kenya	DG	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
296	Kiribati	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
414	Kuwait	SH	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
417	Kyrgyzstan	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
418	Lao People's Democratic Republic	MW	0	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	0	0	0
428	Latvia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
422	Lebanon	SH	0	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
426	Lesotho	PG	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
