"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
368	"Iraq"	-9.61674474589151e-05	-0.000169161673193488	-0.000255426825495877	-0.000821056781383394	-0.00086580112768908	-0.0040900896351903	-0.0146439432702197	-0.0404576257563046	-0.00881233495752342	-0.000883332321846353	-0.0112968319368463	-0.0169271180327927	0.0177744987423285
372	"Ireland"	-0.0502129523499593	-0.0715471075919567	-0.0389257550125769	-0.0178012420968925	0.0126660014338357	0.0166806830346406	-0.0147898124146405	-0.0323555393268684	-0.00298840393746355	0.022881860175737	0.0520487175308871	0.0471356186216904	-0.0303207435286249
376	"Israel"	0.208404645258118	0.0974807368430238	0.0998898985640878	0.0287172005882983	0.0582108580678918	0.01874453062252	0.000695388935785211	0.0160229020366265	0.101557379253599	0.0460148900278377	0.0171167187781388	0.0414367631851164	0.00262749771978964
380	"Italy"	-0.00437068906058598	-0.0115696422029587	-0.00465869811989397	-0.00448378678360702	0.000362388498182172	0.00298410222421435	0.00472788077543976	-0.000176732438263834	0.00268078399473109	0.00392110410941599	0.0284231490318814	0.0171557002527646	0.00886535775563026
384	"Cote d'Ivoire"	0.0263792944153732	0.0335355938312953	0.0575591039748769	0.0710942074853445	0.0763083865931413	0.0635741580695674	0.0520231626477564	0.0319945800530477	0.0308238373310206	0.0124961643504666	-0.0223997557081546	-0.0121327753580244	0.00248364433279304
388	"Jamaica"	-0.0262956056614318	-0.0970481477423675	-0.0905762045086375	-0.0954942509963503	-0.0550755783880561	-0.0557341302290084	-0.0375012019017587	-0.0686292698685356	-0.0461055928269105	-0.0361520602199603	-0.0353829379311141	-0.035475344749295	-0.035385278192126
392	"Japan"	0.000666500647753568	-0.00530020400272909	0.00226120318975994	0.00902273772231085	0.00440757743576535	0.000406246969042842	0.00182951557845935	-0.00523522793149216	0.00369238969373113	0.000136379733812498	0.00494817335325548	0.00350662599823589	0.00274898322572007
398	"Kazakhstan"	0.0844047945127821	0.122614709055378	0.0691957990783711	0.0145556289734126	-0.00423043736411128	-0.0221866063158151	-0.0266947677627797	-0.0415773711562267	-0.0914544785680023	-0.0831967372922356	0.00297724729184492	-0.00227779995433528	0.00979772447700346
400	"Jordan"	0.274236344881823	0.184668681975581	0.0401909901961667	0.227140966495743	-0.0179517503651567	-0.0406816511436834	0.0358039523473365	0.0424731887950814	0.119540752840668	-0.043577572857289	-0.0196953272549248	0.084380183544591	0.0352286130895907
404	"Kenya"	0	0	-0.00246760200556663	-0.00205519331379353	-0.00159191771830281	-0.000217332613290835	0.000233896114226379	0.000255534984921452	0.00945013375071957	-0.000781170228292186	0.000809410471057902	-0.00535598703670595	-0.00123979894720615
408	"Dem. People's Republic of Korea"	-0.0538807213898633	0	0	0	0	0	0	0	0	0	0	0	0
410	"Republic of Korea"	7.03749328653331e-05	0.0207719816855249	-0.0112222894542512	-0.0137048501372993	-0.0143056583930453	-0.00475840834396765	0.00846552242745437	0.0107397632561441	-0.0147315521312892	-0.00656354644438848	0.00495640515981045	0.00850136883349851	0.00611121917783691
414	"Kuwait"	0.107684729064039	0.168315408506378	0.586340766981471	0.28523787105458	0.145513633988462	0.107170275127071	0.0693123520055015	0.0638262683539635	-0.282149296300038	0.0601699051514602	0.0720405085334315	0.23060570665187	0.169146777892794
417	"Kyrgyzstan"	0.00403218390804598	0.029892788379915	0.0537850402761795	0.0427710342437169	0.0115162798165896	0.00544225357918958	-0.0110235729906473	-0.0299489373110439	-0.0618022246889409	-0.00712195961137902	-0.0348973228251108	-0.0149749680869989	-0.0208549003059163
418	"Lao People's Democratic Republic"	-5.94206722141806e-06	2.4333950675082e-05	3.58500035850004e-05	1.25994146311962e-05	1.71256782792416e-05	-0.0652115711199712	-0.0107941061905167	3.74985224766959e-05	-0.0106369379818774	-0.0270193714240309	-0.0327725932030278	-0.020487337537328	-0.0188002831702804
422	"Lebanon"	0.00121008408398508	0.0261077689540771	0.0110807805523437	-0.0334560977731302	-0.00435274089918051	-0.104826157465195	-0.0822866824243252	-0.0851978616098899	0.0332961033570241	-0.00970130605662414	0.170029486489995	0.0459935312582693	0.288207295287511
426	"Lesotho"	-0.0272501096816915	-0.0330049761348634	-0.0293629876017721	-0.0240021173296359	-0.0232969076958847	-0.00568971969123393	-0.0197031825688024	-0.0427030989415855	-0.029010337182182	-0.0424369834145273	-0.0185823378092634	-0.0126791162731769	-0.00994635394855032
428	"Latvia"	0.0142596203181119	0.030613759045245	0.0357705611789335	0.030727130328724	0.0231080759487571	0.0167971292134763	0.0158685635416928	0.0162667369975899	-0.0509094458114441	-0.015692197872337	-0.0348693495752232	-0.0386827015580732	-0.0351309890032093
430	"Liberia"	-1.18276263244253e-05	0.00790147951020925	0.00713639211863817	0.00878953013963645	0.00774444118873475	0.00733488225874586	0	-0.182028467645562	-0.142660269716203	0.216355813514071	-0.0172899561820878	0.0537001504073967	-0.00505281721277719
