"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
2123	"Indonesia"	360	" 45"	0.01739624	0.016267912	0.015194595	0.013934939	0.012769616	0.011716153	0.010748935	0.009848687	0.009047156	0.008301453	0.00760599	0.006978315	0.005994025	0.005299986	0.004760932	0.00436001	0.004034133	0.003763092	0.003512926	0.003294574	0.003104019	0.002920409	0.002759961	0.002610509	0.002472882	0.002341167	0.00222037	0.00211103	0.002004967	0.001905666
2124	"Indonesia"	360	" 50"	0.022312623	0.021104654	0.019937155	0.018694372	0.017444101	0.016297585	0.015225935	0.014207317	0.013290766	0.012417843	0.011588405	0.010828124	0.009300864	0.00822502	0.007390163	0.006769532	0.006263108	0.005842066	0.005454917	0.005116146	0.004820913	0.004536998	0.004285957	0.004056139	0.003840764	0.003635931	0.003447772	0.003279735	0.003115679	0.002961372
2125	"Indonesia"	360	" 55"	0.030277376	0.028748232	0.027262986	0.025937019	0.024535578	0.023238847	0.022010663	0.020821966	0.019747516	0.01870478	0.017694966	0.01676054	0.014380535	0.012704795	0.011404301	0.010440196	0.009652534	0.008997547	0.008396178	0.007870995	0.007412269	0.006972164	0.00658355	0.006228431	0.005893922	0.00557642	0.005285856	0.005025674	0.004772151	0.004534736
2126	"Indonesia"	360	" 60"	0.042895035	0.040756583	0.038675014	0.036864863	0.035153096	0.033560166	0.032040543	0.030550674	0.029202305	0.027879256	0.026581436	0.025374467	0.021821533	0.01931227	0.017361287	0.01591387	0.014731223	0.013744978	0.012837838	0.012046261	0.01135393	0.010688174	0.010100478	0.009562351	0.009057055	0.008575037	0.008134558	0.007739766	0.007352779	0.006992192
2127	"Indonesia"	360	" 65"	0.061527136	0.058580875	0.055698576	0.053291307	0.051110667	0.049075337	0.047117138	0.045185966	0.043447171	0.041717346	0.040009496	0.038420416	0.033346172	0.02974318	0.026924489	0.024818456	0.023091074	0.021649719	0.02031654	0.019146458	0.018122121	0.017132018	0.016255027	0.015446504	0.014687698	0.013960919	0.013293357	0.012693079	0.012104003	0.011552265
2128	"Indonesia"	360	" 70"	0.091165278	0.087202934	0.083308259	0.080168573	0.077253472	0.074534701	0.071894821	0.069271998	0.066915456	0.064545725	0.062189128	0.059994341	0.052632768	0.047358737	0.043202039	0.040074634	0.037494766	0.03533573	0.033329318	0.031559574	0.030006242	0.028497971	0.027156677	0.02591078	0.024740596	0.023613248	0.02257739	0.021641898	0.020719376	0.019852393
2129	"Indonesia"	360	" 75"	0.134853824	0.129812749	0.124834227	0.120851418	0.117075657	0.113579221	0.110159108	0.106701065	0.103588851	0.100440875	0.097263161	0.094302985	0.083646697	0.075890705	0.069716832	0.065031762	0.061143454	0.057855158	0.054792709	0.052083608	0.04968414	0.047356118	0.045271232	0.043329373	0.04150061	0.039728665	0.038101428	0.036626948	0.035167892	0.033793604
2130	"Indonesia"	360	" 80"	0.194488296	0.188435809	0.182427548	0.177684501	0.173066291	0.16883854	0.164670934	0.160365367	0.156495617	0.152553208	0.148499956	0.144731124	0.13000393	0.11908364	0.110285535	0.103539472	0.097898742	0.093070068	0.088559063	0.084553248	0.080967925	0.077490351	0.07435035	0.071414535	0.068641413	0.065935398	0.063451814	0.061192333	0.058947258	0.056826745
2131	"Indonesia"	360	" 85"	0.271577645	0.264819916	0.258072368	0.252867061	0.247612491	0.242891198	0.238200174	0.233218609	0.228774469	0.224203988	0.21939445	0.214947956	0.195827308	0.181343975	0.169508927	0.160322711	0.152572665	0.145844749	0.139533225	0.133901245	0.128799238	0.123848902	0.119336187	0.115093938	0.11107423	0.107116692	0.103487309	0.100169341	0.096856111	0.09371583
2132	"Indonesia"	360	" 90"	0.364868156	0.357955674	0.351002212	0.345849981	0.340368625	0.335593263	0.330810917	0.325538977	0.320925913	0.316115504	0.310892933	0.306126305	0.283178753	0.265386222	0.250616332	0.23899408	0.229088963	0.220354148	0.212118474	0.204727246	0.197939682	0.191348372	0.185273904	0.179520194	0.17405375	0.168610601	0.163626604	0.159044091	0.15444126	0.15006036
